,df,sum_sq,mean_sq,F,PR(>F)
C(architecture),1.0,0.005175334748807114,0.005175334748807114,608.0470921756113,5.280004803664495e-38
C(task),1.0,0.0062939410810955105,0.0062939410810955105,739.4715044407232,6.579008482440569e-41
C(architecture):C(task),1.0,0.002719129692810257,0.002719129692810257,319.4689779907918,6.106272052788814e-29
Residual,76.0,0.0006468667410315376,8.511404487257074e-06,,
