,df,sum_sq,mean_sq,F,PR(>F)
C(architecture),1.0,0.018879951260493855,0.018879951260493855,1047.2327791465761,3.372718532505579e-46
C(task),1.0,0.00807480287565165,0.00807480287565165,447.89301306216663,1.3579897243109564e-33
C(architecture):C(task),1.0,0.003927631588936918,0.003927631588936918,217.8577946306998,5.068359104739391e-24
Residual,76.0,0.0013701598387388715,1.8028418930774623e-05,,
