,df,sum_sq,mean_sq,F,PR(>F)
C(architecture),1.0,0.0031575412406166935,0.0031575412406166935,455.7844832214799,7.684763444727775e-34
C(task),1.0,0.0020626983241556584,0.0020626983241556584,297.7461949264933,5.260884438975108e-28
C(architecture):C(task),1.0,0.0003322545546887093,0.0003322545546887093,47.96025102025256,1.213567191465284e-09
Residual,76.0,0.0005265057129429706,6.927706749249613e-06,,
