,group_id,predictor,outcome,r2_mean,r2_mean_ci_lower,r2_mean_ci_upper,r2_max,r2_median,r2_median_network_id,r2_median_ci_lower,r2_median_ci_upper,r_mean,r_mean_ci_lower,r_mean_ci_upper,r_max,r_median,r_median_ci_lower,r_median_ci_upper
0,grudiag11_b_2020-12-11,hidden_state,io_confidence,0.35998575444959585,0.3199173134050642,0.4000541954941275,0.5026022763692404,0.3428733358048536,fed97_00000,0.2903176099742138,0.413641263109172,0.5970932997190493,0.5639473085606869,0.6302392908774118,0.7110291175346477,0.5859547648920258,0.5399633140991449,0.6460419547151037
1,grudiag11_b_2020-12-11,hidden_state,io_evidence,0.9439067226294376,0.9424206829202425,0.9453927623386328,0.951157355141928,0.9437462555063418,fed97_00011,0.9420066355336862,0.9458903013937436,0.9715687269155786,0.9708045818638887,0.9723328719672685,0.9752835807769576,0.9714758390517277,0.970641354287903,0.9725896088634938
2,grudiag11_b_2020-12-11,hidden_state,io_lr_tplus1,0.2098701058271913,0.16306104319366596,0.2566791684607166,0.372790320212664,0.20266768450524408,fed97_00000,0.1381465184728157,0.2648359887730672,0.44857573761101294,0.39609385204797093,0.501057623174055,0.6156173298710543,0.4531966888949155,0.3740211190614225,0.5186214542003764
3,grudiag11_b_2020-12-11,hidden_gates_tplus1,io_confidence,0.44394892814830406,0.40970095539458984,0.4781969009020183,0.6159242682285111,0.43866673905464926,fed97_00010,0.4009861846851703,0.4713182622269554,0.6659439548751479,0.6401775128663703,0.6917103968839255,0.7878148188347057,0.6631072542306824,0.6354624205506286,0.6954548981763792
4,grudiag11_b_2020-12-11,hidden_gates_tplus1,io_evidence,0.9448287786011799,0.9436758892424472,0.9459816679599126,0.9485957080772364,0.9452644297062256,fed97_00009,0.9429888155509212,0.946829196100129,0.9720489121059959,0.9714530404544984,0.9726447837574933,0.97396685248061,0.9722497757325386,0.9710800084152196,0.9730974706511228
5,grudiag11_b_2020-12-11,hidden_gates_tplus1,io_lr_tplus1,0.366401683854355,0.3276113039761291,0.40519206373258093,0.5627938179942478,0.37510217559109915,fed97_00016,0.3086902113836421,0.3951836124168395,0.6065435309457246,0.5747120450617591,0.63837501682969,0.7553195631655885,0.6152785746331013,0.5635481196866015,0.6298523935836404
6,grudiag11_b_2020-12-11,hidden_all,io_confidence,0.5678899235178404,0.545385042124824,0.5903948049108568,0.6400458268874265,0.5691162445226752,fed97_00004,0.5484748471656429,0.5953197364011774,0.7536854146890943,0.7386678069004465,0.7687030224777421,0.8016623710156513,0.7544714204083467,0.7417984163394867,0.7718973677168229
7,grudiag11_b_2020-12-11,hidden_all,io_evidence,0.9480473938062417,0.9464996446167188,0.9495951429957646,0.9553652130492402,0.947410991360908,fed97_00009,0.945568741608322,0.9498762848205156,0.973706170166089,0.972908781506328,0.9745035588258499,0.9774932458046308,0.9733767468766779,0.9724246605890512,0.974663978673802
8,grudiag11_b_2020-12-11,hidden_all,io_lr_tplus1,0.519816181507253,0.4950483429623314,0.5445840200521744,0.6012916875037789,0.525054518348954,fed97_00012,0.4980696560278203,0.5517773008149505,0.7217775921049204,0.7047576566225107,0.7387975275873302,0.7759425887983044,0.7255190277641184,0.7059465266546994,0.7434782119419912
9,grudiag11_b_2020-12-11,output,io_confidence,-0.00517937766609357,-0.005302929316462994,-0.005055826015724145,-0.0045530688865533,-0.005265379065558851,fed97_00011,-0.0053775085070586,-0.0051013916523869,0.0034286742193978302,-0.0056352972597968854,0.012492645698592545,0.0325568154672099,-0.00790701139212915,-0.0123878297752137,0.0226001864586754
10,grudiag11_b_2020-12-11,output,io_evidence,0.9141275155403138,0.9125983208943805,0.9156567101862471,0.9195366123798948,0.913902024688237,fed97_00007,0.911792772647914,0.916035965115961,0.956144114609866,0.9553466137584394,0.9569416154612926,0.9589602344109812,0.956034431001954,0.9549173346002732,0.9571590986221644
11,grudiag11_b_2020-12-11,output,io_lr_tplus1,-0.0016618369031974102,-0.0017159034741610598,-0.0016077703322337606,-0.0014148610042523,-0.001690765222264,fed97_00018,-0.001720644941294,-0.0016284682612113,-0.0024878506228404344,-0.00981198296150157,0.0048362817158207,0.0242774477648446,-0.01012591273742015,-0.0141437020353203,0.01533467117309
