,group_id,predictor,outcome,r2_mean,r2_mean_ci_lower,r2_mean_ci_upper,r2_max,r2_median,r2_median_network_id,r2_median_ci_lower,r2_median_ci_upper,r_mean,r_mean_ci_lower,r_mean_ci_upper,r_max,r_median,r_median_ci_lower,r_median_ci_upper
0,grureservoir11_b_2020-12-11,hidden_state,io_confidence,0.38763366268616545,0.3556826380549801,0.41958468731735077,0.5206744135543483,0.3892545147157793,563e6_00016,0.3439291331805052,0.4403961269119129,0.6223145608755036,0.5971140564824887,0.6475150652685185,0.7222592876574931,0.6243654865448388,0.5884552548706958,0.6648859748525293
1,grureservoir11_b_2020-12-11,hidden_state,io_evidence,0.9008293197444587,0.8866194868459192,0.9150391526429982,0.9427059871402635,0.9078873039136681,563e6_00008,0.8883815484658057,0.9181206580902204,0.9491230511351851,0.9415578596897538,0.9566882425806165,0.9710952746016174,0.9529541976224298,0.9427552312675856,0.9582214694850784
2,grureservoir11_b_2020-12-11,hidden_state,io_lr_tplus1,0.2672441991543455,0.23332142475602088,0.3011669735526701,0.4570525804636064,0.26247650318943794,563e6_00003,0.2173284063240878,0.292015346960932,0.5152403570798445,0.4836603069008033,0.5468204072588857,0.6763427166071735,0.5139759708057796,0.4678093172480831,0.5424611838219072
3,grureservoir11_b_2020-12-11,hidden_gates_tplus1,io_confidence,0.4156520290659749,0.3883516676694588,0.4429523904624911,0.5176196959073247,0.4286389147008199,563e6_00017,0.3753387179574156,0.4539861552504581,0.6459191249691765,0.6252359425983227,0.6666023073400302,0.7201774331190932,0.6571853706688402,0.6127070638853251,0.6771605018072577
4,grureservoir11_b_2020-12-11,hidden_gates_tplus1,io_evidence,0.9071196084782442,0.894144283839847,0.9200949331166415,0.9457093530398883,0.9130381996845157,563e6_00008,0.8975480885036526,0.9237762445496204,0.9525205763540953,0.9456408056655877,0.9594003470426028,0.972616222879986,0.9557588908409318,0.9475276628460892,0.961367839658533
5,grureservoir11_b_2020-12-11,hidden_gates_tplus1,io_lr_tplus1,0.3486651492930549,0.3196338803743124,0.37769641821179745,0.4896904701413673,0.3433945235793619,563e6_00003,0.3078974906988334,0.38504685462234,0.5911828759401356,0.5668785591537654,0.6154871927265059,0.70053857150461,0.5922156682055953,0.5557385778420663,0.6218881924330717
6,grureservoir11_b_2020-12-11,hidden_all,io_confidence,0.4648345102373964,0.4364880656355781,0.4931809548392147,0.5590470609568492,0.47176005078119965,563e6_00002,0.4387683431948183,0.492580296477102,0.6828619505007073,0.6620055428915035,0.7037183581099111,0.7488971823035644,0.6877267666715137,0.663604860041272,0.7058821835444979
7,grureservoir11_b_2020-12-11,hidden_all,io_evidence,0.9181979773569184,0.907540546267043,0.9288554084467939,0.9465256749983596,0.9188463522598227,563e6_00014,0.9096448874482695,0.9352034174239752,0.9583371830606848,0.9527378960608704,0.9639364700604992,0.9730808609019388,0.958684976995575,0.9540618073105948,0.967133047984812
8,grureservoir11_b_2020-12-11,hidden_all,io_lr_tplus1,0.40638268624907,0.3703540122269216,0.44241136027121836,0.5431175215446394,0.4282216568747196,563e6_00004,0.3442806824855839,0.4678904490090156,0.6374255059702341,0.6087324776367395,0.6661185343037286,0.7373271915080245,0.6579709464002175,0.5961817881000545,0.6855437860203182
9,grureservoir11_b_2020-12-11,output,io_confidence,-0.00359930270876831,-0.004420696093241346,-0.002777909324295274,0.0014526694635965,-0.0041964855878069,563e6_00003,-0.0048526560591153,-0.0032469329277438,0.035959942060850125,0.026107965577231947,0.045811918544468304,0.0840480760510214,0.03226408595403445,0.0181962228855837,0.0499412329115253
10,grureservoir11_b_2020-12-11,output,io_evidence,0.8588081804651363,0.8421288765724477,0.8754874843578249,0.9086505245448152,0.8651521190627318,563e6_00001,0.8456027170440346,0.8730661451393887,0.9265828254192721,0.9174764088591001,0.935689241979444,0.9532495428153586,0.930254269786875,0.9196316120026724,0.9343864981934484
11,grureservoir11_b_2020-12-11,output,io_lr_tplus1,-0.0009629472071078692,-0.0015527165277897667,-0.0003731778864259717,0.0023991754528682,-0.0015126512489748501,563e6_00018,-0.0016685053192346,-0.0008200058706326,0.02232977788556782,0.013317708039694814,0.031341847731440824,0.0655219036908943,0.014049305191133201,0.0109437381641804,0.0333626138617843
