,dataset_name,group_id,network_id,predictor,outcome,decoder_fname,r2,r
27,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00004,output,io_confidence,io_confidence_output_1ad6e_00004_decoder.pkl,-0.004826112568914631,0.029238903636449633
28,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00004,output,io_evidence,io_evidence_output_1ad6e_00004_decoder.pkl,0.9098026876702585,0.953977289040104
29,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00004,output,io_lr_tplus1,io_lr_tplus1_output_1ad6e_00004_decoder.pkl,-0.0018931622981415153,-0.010300244134369647
30,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00005,hidden_state,io_confidence,io_confidence_hidden_state_1ad6e_00005_decoder.pkl,0.3835973476509924,0.6217125114570528
31,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00005,hidden_state,io_evidence,io_evidence_hidden_state_1ad6e_00005_decoder.pkl,0.9323032363397066,0.9657623045159424
32,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00005,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_1ad6e_00005_decoder.pkl,0.23410048739822242,0.486147173676396
33,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00005,output,io_confidence,io_confidence_output_1ad6e_00005_decoder.pkl,-0.005630811139145875,-0.014300167822128517
34,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00005,output,io_evidence,io_evidence_output_1ad6e_00005_decoder.pkl,0.9126873678967947,0.9555613521624493
35,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00005,output,io_lr_tplus1,io_lr_tplus1_output_1ad6e_00005_decoder.pkl,-0.0020442228039665444,-0.009919912753787553
36,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00006,hidden_state,io_confidence,io_confidence_hidden_state_1ad6e_00006_decoder.pkl,0.43472834388500525,0.6614538709940703
37,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00006,hidden_state,io_evidence,io_evidence_hidden_state_1ad6e_00006_decoder.pkl,0.9238027130687196,0.9614327777174717
38,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00006,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_1ad6e_00006_decoder.pkl,0.2941712182896876,0.5437400966530439
39,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00006,output,io_confidence,io_confidence_output_1ad6e_00006_decoder.pkl,-0.005058830164994088,0.028024077651172444
40,B_PC1by75_N1000_06-03-20,elman11_b_2020-12-11,1ad6e_00006,output,io_evidence,io_evidence_output_1ad6e_00006_decoder.pkl,0.8993656808635326,0.9485739937292361
