,group_id,predictor,outcome,r2_mean,r2_mean_ci_lower,r2_mean_ci_upper,r2_max,r2_median,r2_median_network_id,r2_median_ci_lower,r2_median_ci_upper,r_mean,r_mean_ci_lower,r_mean_ci_upper,r_max,r_median,r_median_ci_lower,r_median_ci_upper
0,gru11_mi_2020-12-11,hidden_state,io_confidence_0,0.5826721044555412,0.5578636505962188,0.6074805583148636,0.687704182954701,0.5839650893180034,b2b0f_00010,0.5395131022226454,0.6088338310198339,0.7652529338847782,0.7494115317125863,0.7810943360569701,0.8309224692039379,0.7676412949869437,0.7371299180328619,0.7836026556005513
1,gru11_mi_2020-12-11,hidden_state,io_confidence_1,0.5790527556542269,0.5512539730193432,0.6068515382891105,0.7026457937695769,0.5685716352408829,b2b0f_00007,0.5417633640724802,0.6127827901384991,0.7631611351337997,0.7452526795483146,0.7810695907192847,0.8408149307416906,0.7562418460509432,0.7387114951040858,0.7848805594965241
2,gru11_mi_2020-12-11,hidden_state,io_evidence_0,0.9443828262338678,0.936876663002006,0.9518889894657296,0.9618117496023966,0.9482724542044686,b2b0f_00014,0.9414311281362896,0.9527009525165746,0.9718198662853708,0.9679270019768804,0.9757127305938611,0.9808100407332416,0.9738209234524939,0.9703283100845932,0.9761018059398066
3,gru11_mi_2020-12-11,hidden_state,io_evidence_1,0.9454979235859404,0.9415881491373438,0.9494076980345371,0.9606981414034288,0.9439335412886396,b2b0f_00009,0.9406765138934136,0.9499546127831238,0.9724109765418769,0.9704034592197337,0.9744184938640201,0.9801955576741458,0.9717207217550587,0.9698891010464258,0.9746667551284378
4,gru11_mi_2020-12-11,hidden_state,io_lr_tplus1_0,0.6614648706804105,0.6383713914575284,0.6845583499032926,0.7274877074319963,0.6758423290173194,b2b0f_00001,0.6389351233504692,0.6915282626571457,0.8140242366032358,0.799577586544606,0.8284708866618655,0.8542586713613205,0.8233167115394785,0.8002266942534512,0.832552506548561
5,gru11_mi_2020-12-11,hidden_state,io_lr_tplus1_1,0.6410653680987021,0.6231552987350295,0.6589754374623746,0.6962376126109291,0.6413627239201402,b2b0f_00002,0.6216491134068238,0.6574542412471721,0.8021157604259036,0.7909346359692172,0.81329688488259,0.8356234505205572,0.8022817756203973,0.7904500961946667,0.8126664460558489
6,gru11_mi_2020-12-11,hidden_state,io_confidence_xt,0.36031993730222034,0.32134121210477984,0.39929866249966084,0.498388754760164,0.36263932768678364,b2b0f_00005,0.2836653753159277,0.4301373415890334,0.6012080748565368,0.5683521132398247,0.6340640364732489,0.7084281957185116,0.607669431715361,0.5388932235923378,0.6589762670233881
7,gru11_mi_2020-12-11,hidden_state,io_confidence_1minusxt,0.5777525817916448,0.561135195367681,0.5943699682156086,0.6967855075674161,0.5737001415008534,b2b0f_00014,0.5626282277462668,0.5866249937461132,0.7627615370097687,0.7521219800167535,0.7734010940027839,0.8373001123392765,0.7603758744163363,0.7518764507817729,0.7678186680657052
8,gru11_mi_2020-12-11,hidden_state,io_evidence_xt,0.9650038134407855,0.9629992110520107,0.9670084158295602,0.97200780476059,0.9646620018076417,b2b0f_00003,0.9634127467080372,0.9684706958854558,0.9823575815073926,0.9813365307457893,0.9833786322689959,0.985909903877309,0.9821751930220742,0.9815623504006034,0.984142967276184
9,gru11_mi_2020-12-11,hidden_state,io_evidence_1minusxt,0.916144140572638,0.9029892314757432,0.9292990496695329,0.9566400281076516,0.9194507624894956,b2b0f_00007,0.9087065971291908,0.9305262860526552,0.9571711954254887,0.9501995842978033,0.9641428065531741,0.978090056673322,0.9590105932560808,0.9533708573961084,0.9646629464434322
10,gru11_mi_2020-12-11,hidden_state,io_lr_tplus1_xt,0.2551057296540863,0.22588104395412398,0.28433041535404857,0.3930818622026671,0.2422346778845848,b2b0f_00001,0.2104613989428755,0.3036455355489732,0.5070518042571355,0.47903284049487044,0.5350707680194005,0.631336230886679,0.5002112405458692,0.4637707035857436,0.554684693737638
11,gru11_mi_2020-12-11,hidden_state,io_lr_tplus1_1minusxt,0.07637042169231187,0.06693673068707404,0.0858041126975497,0.1362940912049739,0.07108785512675204,b2b0f_00014,0.0672810890360213,0.0847958813837695,0.27845817054037686,0.2622830357429632,0.29463330533779053,0.3701586040426056,0.2703673390108393,0.2623152849898574,0.2946298875935932
12,gru11_mi_2020-12-11,hidden_gates_tplus1,io_confidence_0,0.6343460026054826,0.6186873251865099,0.6500046800244552,0.7061245835581351,0.6280788251525341,b2b0f_00004,0.6180065049348344,0.650618255107933,0.7988677240662337,0.7892929930147277,0.8084424551177398,0.8418068948111509,0.7956993860075697,0.7900182283949185,0.8090673111572019
13,gru11_mi_2020-12-11,hidden_gates_tplus1,io_confidence_1,0.6322237277934418,0.6120167116361379,0.6524307439507457,0.7410205361105484,0.6258797839177298,b2b0f_00006,0.6000342488482368,0.6524061528588763,0.7972772392227718,0.784921701194738,0.8096327772508056,0.8624585767275449,0.7938368875649313,0.7768541738342042,0.8093853427688941
14,gru11_mi_2020-12-11,hidden_gates_tplus1,io_evidence_0,0.9342422314563056,0.9270502556655598,0.9414342072470514,0.9541215743872388,0.938092261943301,b2b0f_00006,0.9265020150832624,0.9438116024956776,0.9665986120780211,0.9628655725885918,0.9703316515674504,0.9768103699921552,0.968585377821539,0.9626189922729604,0.971661267253542
