,0
Unnamed: 0,0
data_dir,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_elman1000_b_21-09-27
hyperparameter_keys,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')"
hyperparameter_values,"(0.0001335022163380898, 1.0, 0.038039229054098345)"
n_trials,10
did_all_trial_complete,True
mean_loss,0.5441434800624847
min_loss,0.5428178906440735
