,46
Unnamed: 0,46
data_dir,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_elman3_mi_20-12-12
hyperparameter_keys,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')"
hyperparameter_values,"(0.05488875670582376, 0.021739130434782608, 0.128692685446318)"
n_trials,10
did_all_trial_complete,True
mean_loss,0.5699880063533783
min_loss,0.5674139261245728
