,data_dir,hyperparameter_keys,hyperparameter_values,did_trial_complete,validation_loss
20,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grudiag3_mi_20-12-12,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std', 'init_diagonal_mean')","(0.06095051851015027, 1.0, 0.021739130434782608, 0.0)",True,0.5915775299072266
21,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grudiag3_mi_20-12-12,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std', 'init_diagonal_mean')","(0.03421625131889288, 1.0, 1.0, 0.0)",True,0.5914836525917053
22,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grudiag3_mi_20-12-12,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std', 'init_diagonal_mean')","(0.033498984937003345, 1.0, 0.021739130434782608, 0.0)",True,0.5918344855308533
23,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grudiag3_mi_20-12-12,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std', 'init_diagonal_mean')","(0.1, 1.0, 0.021739130434782608, 0.0)",True,0.5979781746864319
24,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grudiag3_mi_20-12-12,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std', 'init_diagonal_mean')","(0.0980741228990047, 0.7724301570181931, 0.035504393441440664, 1.0)",True,0.5928563475608826
25,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grudiag3_mi_20-12-12,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std', 'init_diagonal_mean')","(0.04341876252970354, 1.0, 0.021739130434782608, 0.0)",True,0.5926358699798584
26,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grudiag3_mi_20-12-12,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std', 'init_diagonal_mean')","(0.0573025500261343, 1.0, 0.021739130434782608, 0.0)",True,0.5920953154563904
27,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grudiag3_mi_20-12-12,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std', 'init_diagonal_mean')","(0.06001231749125479, 1.0, 0.021739130434782608, 0.0)",True,0.5926038026809692
28,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grudiag3_mi_20-12-12,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std', 'init_diagonal_mean')","(0.0980741228990047, 0.7724301570181931, 0.035504393441440664, 1.0)",True,0.5918664932250977
29,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grudiag3_mi_20-12-12,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std', 'init_diagonal_mean')","(0.032468502004185315, 1.0, 0.021739130434782608, 0.0)",True,0.5750540494918823
