,25
Unnamed: 0,25
data_dir,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir474_mi_20-12-13
hyperparameter_keys,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')"
hyperparameter_values,"(0.011064692150259039, 2.0, 0.10206509506767576)"
n_trials,10
did_all_trial_complete,True
mean_loss,0.5462164640426636
min_loss,0.5447084903717041
