,data_dir,hyperparameter_keys,hyperparameter_values,did_trial_complete,validation_loss
23,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 2.0, 0.46381194844833123)",True,0.59080970287323
24,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.05820820192995299, 2.0, 0.5666795828433261)",True,0.5818115472793579
25,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 2.0, 0.4478569777350018)",True,0.5862545967102051
26,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.025601918563697867, 0.03307373685496405, 0.22635173963892957)",True,0.6457117199897766
27,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0240919587784179, 2.0, 0.42447905416499465)",True,0.591734766960144
28,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.05909295777715319, 2.0, 0.553644050528515)",True,0.5857338309288025
29,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.06362101188977497, 2.0, 0.5165004964999778)",True,0.6009271740913391
30,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 2.0, 0.5715035506909985)",True,0.586269199848175
31,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.07003290473879344, 2.0, 0.43873186151286137)",True,0.5834928750991821
32,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 1.2016459487288769, 0.44747184234449455)",True,0.590693473815918
33,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0569572189442857, 2.0, 0.5717596523628005)",True,0.587543249130249
34,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.05519326346081447, 0.17182858149110122, 0.15242028586432474)",True,0.6095909476280212
35,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0240919587784179, 2.0, 0.42447905416499465)",True,0.5874053239822388
36,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 2.0, 0.4558592053677481)",True,0.5762333869934082
37,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.03403671545075134, 2.0, 0.07221279467394612)",True,0.6126212477684021
38,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.05690582067013996, 2.0, 0.5706073193694984)",True,0.5841273069381714
39,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 2.0, 0.5573552959556496)",True,0.5871359705924988
40,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.065739922090076, 2.0, 0.4468332196908945)",True,0.5837419629096985
41,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.03403671545075134, 2.0, 0.07221279467394612)",True,0.5986303687095642
42,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 2.0, 0.4422658536921178)",True,0.5948400497436523
43,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.05909295777715319, 2.0, 0.553644050528515)",True,0.5833965539932251
44,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 2.0, 0.4471272752970934)",True,0.591455340385437
45,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.065739922090076, 2.0, 0.4468332196908945)",True,0.5799068212509155
46,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 2.0, 0.5535626421321124)",True,0.5918354988098145
47,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.024074162126313334, 2.0, 0.42449249517491877)",True,0.5854135155677795
48,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.06854036321649042, 2.0, 0.4444606928018493)",True,0.5858045220375061
49,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.05690582067013996, 2.0, 0.5706073193694984)",True,0.5863887071609497
50,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.0006594014877215836, 0.028417328382334843, 0.4508343218385062)",True,0.6904698610305786
51,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.03458858137056756, 0.08962824393964541, 0.232993314160005)",True,0.6281022429466248
52,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_grureservoir11_mi_20-12-10,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')","(0.1, 2.0, 0.4491360025909623)",True,0.5783791542053223
