,44
Unnamed: 0,44
data_dir,ray_data/skopt-ucb_adamlr-initwihstd-initwhhstd_lstm11_b_21-09-28
hyperparameter_keys,"('optimizer.lr', 'initialization.weight.input_to_hidden.std', 'initialization.weight.hidden_to_hidden.std')"
hyperparameter_values,"(0.054960076406379614, 1.0, 0.01)"
n_trials,10
did_all_trial_complete,True
mean_loss,0.5414448201656341
min_loss,0.540835976600647
